,Unnamed: 0,Review id,Product Name,Product id,Action,Agent,Environment,Feature,Review Body,Rating,Valence,Annotation Description,Annotation Label,Annotation,Annotation Date,review sentences,Sentences Actions,Action Flag
195,195,1033,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,FPS,"Great pc, I use it at work every night and play games. Plays every title I^ve thrown at it at good FPS on medium to high settings",5,positive,The person likes the FPS of this laptop to play games on it,Plays every title I^ve thrown at it at good FPS on medium to high settings,http://linked.aub.edu.lb/actionrec/Annotation/eb415f8986aa26fb3fb244a0d2fb8af2,2021-10-31T10:21:16,Plays every title I^ve thrown at it at good FPS on medium to high settings,PlayAction,Action Exist
196,196,1034,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,Fans,"Works great, can get hot/loud when playing a game but that is to be expected.  I appreciate that you can change the fan settings though, which helps a lot.",5,neutral,"The person don""t like the fans noise of this laptop when playing games on it","Works great, can get hot/loud when playing a game but that is to be expected.",http://linked.aub.edu.lb/actionrec/Annotation/df152bd2521e1e1394ac22415f8771fd,2021-10-31T10:29:15,"Works great, can get hot/loud when playing a game but that is to be expected.",PlayAction,Action Exist
198,198,1035,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,Fans,"overall this product is great, i just do not like when playing a video game makes a lot of noice",4,negative,"The person don""t like the fans noise of this laptop while playing video games on it",i just do not like when playing a video game makes a lot of noice,http://linked.aub.edu.lb/actionrec/Annotation/a985b20e434752d404e1303bc3592aea,2021-11-06T17:05:11,"overall this product is great, i just do not like when playing a video game makes a lot of noice",PlayAction,Action Exist
200,200,1036,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,WatchAction,Person,Universal,ScreenQuality,"This is the one I use for everything! Great for my gaming, my work and to watch movies.. the screen is incredible and the keyboard is super super nice! Super powerful machine",5,positive,The person likes the screen quality of this laptop to watch movies on it,watch movies,http://linked.aub.edu.lb/actionrec/Annotation/34ce76ddc253eec5317ac6c55574a992,2021-11-06T17:15:41,"Great for my gaming, my work and to watch movies.. the screen is incredible and the keyboard is super super nice!",WatchAction,Action Exist
206,206,1038,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,Fans,4K is awesome! Fan is loud when gaming. Programming/coding is good.,5,negative,"The person don""t like the fans of this laptop when playing games on it",Fan is loud when gaming,http://linked.aub.edu.lb/actionrec/Annotation/1cced9df130dbf189acbcb450bfdd8b8,2021-11-07T10:10:02,Fan is loud when gaming.,PlayAction,Action Exist
208,208,1039,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,DiscDrive,The only down sides i found were that it had no camera or a disc drive to play some old video games i had on disk.,4,negative,"The person doesn""t like that this laptop doesn""t have a disc drive to play old video games on it",The only down sides i found were that it had no camera or a disc drive to play some old video games i had on disk.,http://linked.aub.edu.lb/actionrec/Annotation/2b70d1150c7e52d89986448b86df8e2d,2021-11-07T10:41:11,The only down sides i found were that it had no camera or a disc drive to play some old video games i had on disk.,PlayAction,Action Exist
212,212,1040,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,GraphicsCard,"Received this gaming laptop as a gift and was I immensely impressed with the features it has.  I7 cpu, RTX2060 gpu and 4k video, what else can you ask for?  How about 16mb ram and a 1TB SSD.  Been gaming and surfing with this laptop and very happy with it,",5,positive,The person likes the graphics card of this laptop to game on it,"Been gaming and surfing with this laptop and very happy with it,",http://linked.aub.edu.lb/actionrec/Annotation/182362d709d11ca72c3ad4df92d38081,2021-11-07T10:48:52,"Been gaming and surfing with this laptop and very happy with it,",PlayAction,Action Exist
216,216,1041,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ProcessingPower,"My dad ordered this for me yesterday. It was shipped out early and I got it today. I absolutely love it! I am playing the sims 4 on it and it""s smooth as butter! The game is so gorgeous! No lag at all! I don""t care that it doesn""t have a disk drive, or a web cam. I buy digital games anyway. I highly recommend this!",5,positive,The person likes the processing power of this laptop to play games on it,"I am playing the sims 4 on it and it""s smooth as butter!",http://linked.aub.edu.lb/actionrec/Annotation/b7e3bebf916b54f228a31d967c374bf0,2021-11-07T11:20:55,"I am playing the sims 4 on it and it""s smooth as butter!",PlayAction,Action Exist
222,222,1042,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ScreenResolution,"4K screen ghosts heavily when playing games. Sleep bug drains battery. Auto dims brightness of screen, can^t turn off..",3,negative,"The person don""t like the screen resolution of this laptop to play games on it ",4K screen ghosts heavily when playing games.,http://linked.aub.edu.lb/actionrec/Annotation/fa4dfd44cdfdb9b8aabf6c18d37ad197,2021-11-07T11:24:23,4K screen ghosts heavily when playing games.,PlayAction,Action Exist
236,236,1044,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,Fans,"This is my first gaming laptop I have purchased and it is replacing a Desktop.  This laptop is well made and extremely fast.   Its extra fast SSD drive boot much faster than my Desktop SSD drive.  The couple of games I have played work well in 4K resolution.   The lighted keyboard is nice and display any color and color changing patterns you set.   While playing games in 4K, the cooling fan can get a little noisy, but when not playing in 4K the laptop is quieter than my old desktop.  The laptop has a nice number of USB and other connection ports.  The Case styling is looks good and the speakers produce nice sounding sounds for a laptop.",5,negative,"The person don""t like the fans noise of this laptop when playing games on it","While playing games in 4K, the cooling fan can get a little noisy, but when not playing in 4K the laptop is quieter than my old desktop.",http://linked.aub.edu.lb/actionrec/Annotation/66ea7e67beac3ff620cecce9409e8f6f,2021-11-07T11:47:48,"While playing games in 4K, the cooling fan can get a little noisy, but when not playing in 4K the laptop is quieter than my old desktop.",PlayAction,Action Exist
241,241,1045,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,Speed,Not powerful enough for call duty war zone Cold War . This is a week gaming pc . It was so slow with all the game I was trying to play. Don^t buy.,1,negative,"The person don""t like the speed of this laptop while playing games on it",It was so slow with all the game I was trying to play.,http://linked.aub.edu.lb/actionrec/Annotation/bc9d6a6a9f81f2a9bca765970cd303df,2021-11-07T11:49:00,It was so slow with all the game I was trying to play.,PlayAction,Action Exist
277,277,1049,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ProcessingPower,Quick to boot up and smooth gaming just make sure to plug it in when gaming.,5,positive,The person likes the processing power of this laptop to play games on it,smooth gaming,http://linked.aub.edu.lb/actionrec/Annotation/295e858106d8b1a4e19f0c9a75833fcc,2021-11-13T19:56:21,Quick to boot up and smooth gaming just make sure to plug it in when gaming.,PlayAction,Action Exist
282,282,1051,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,GraphicsCard,Impressed so far.  Nice graphics playing games.  Loads everything very quickly.,5,positive,The person likes the graphics card of this laptop to play games on it,Nice graphics playing games.,http://linked.aub.edu.lb/actionrec/Annotation/db61166890288ccb4ec72ae767e7a788,2021-11-13T20:13:26,Nice graphics playing games.,PlayAction,Action Exist
290,290,1052,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,Speed,"I bought this laptop because it had above average ram, above average storage, and an entry level RTX card to maybe experience ray tracing. It was priced competitively, and seemed like a reasonable choice for what I wanted. I^m happy to say I^m really happy with this laptop. It is incredibly fast. I mean really fast. Boot up is wicked fast. I^ve been playing Horizon Zero Dawn running a large external monitor and it drives it no worries. I would recommend this laptop to any one at this price point. Very worthwhile purchase.",5,positive,The person likes the speed of this laptop to play games on it,I^ve been playing Horizon Zero Dawn running a large external monitor and it drives it no worries.,http://linked.aub.edu.lb/actionrec/Annotation/3cd655670beb69d0785feff8cc7ec601,2021-11-14T18:18:03,I^ve been playing Horizon Zero Dawn running a large external monitor and it drives it no worries.,PlayAction,Action Exist
294,294,1053,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,WatchAction,Person,Universal,ScreenResolution,"I really like this laptop. For watching Netflix the 4K screen is unbelievable, just use an external monitor if you want to game. It^s about as fast any other rtx2060/10750h combo, so choose the laptop that looks the best to you. This one has a squared off shape that I like. It^s got loads of ports including a thunderbolt 3. If you use this computer for school in addition to gaming, the thunderbolt port also supports usb c charging. So I bring along a little 65w usb c charger in my backpack, and leave the 30lb block of a main 220w charger at home. It^s ssd is very fast, definitely nvme speeds. And the WiFi is way faster than my 2017 laptops was. It can get a little loud if you have more than one or two things running at once. So put it in power saving mode when at school, lest the teachers will think it^s room service trying to vacuum the floors.",5,positive,The person likes the 4K screen of this laptop to watch movies on it,For watching Netflix the 4K screen is unbelievable,http://linked.aub.edu.lb/actionrec/Annotation/a26cbfab9ae9267f3ad3123497b23ae5,2021-11-14T18:26:22,"For watching Netflix the 4K screen is unbelievable, just use an external monitor if you want to game.",WatchAction,Action Exist
